timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 15:25:03,818;5302528;4.928571428571429;1.0;3.9285714285714284;0;0;0;0;2
2020-05-29 15:25:10,744;5302528;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:25:18,757;5302528;2.0;0.0;2.0;0;0;0;0;1
2020-05-29 15:30:09,374;5302529;4.0;1.0;3.0;0;0;0;0;0
2020-05-29 15:30:13,960;5302529;3.0;0.0;3.0;0;0;0;0;0
2020-05-29 15:30:16,305;5302529;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:35:01,496;5302530;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:35:14,936;5302530;4.533333333333333;1.0;3.533333333333333;0;0;0;0;1
2020-05-29 15:40:00,796;5302531;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:40:07,055;5302531;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:45:06,358;5302532;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:45:12,614;5302532;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:50:11,919;5302533;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:50:18,174;5302533;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:55:03,362;5302534;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 15:55:17,479;5302534;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:00:02,668;5302535;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:00:08,924;5302535;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:05:08,229;5302536;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:05:14,482;5302536;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:10:13,792;5302537;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:10:20,040;5302537;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:15:05,228;5302538;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:15:19,352;5302538;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:20:04,542;5302539;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:20:10,786;5302539;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:25:10,100;5302540;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:25:16,343;5302540;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:30:01,530;5302541;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:30:15,660;5302541;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:35:00,851;5302542;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:35:07,092;5302542;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:40:06,410;5302543;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:40:12,649;5302543;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:45:11,970;5302544;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:45:18,207;5302544;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:50:03,395;5302545;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 16:50:17,529;5302545;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:55:02,718;5302546;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 16:55:08,952;5302546;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:00:08,278;5302547;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:00:14,509;5302547;0.0;0.0;0.0;0;0;0;0;0
2020-05-29 17:05:13,836;5302548;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 17:05:20,068;5302548;0.0;0.0;0.0;0;0;0;0;0
